pid,category,brand,color,quality,price
0,Laptop,Apple,silver,0.95,1375
1,Laptop,Apple,grey,0.75,1125
2,Laptop,Apple,starlight,0.95,1275
3,Laptop,Apple,starlight,0.8,1125
4,Laptop,Apple,grey,0.85,1175
5,Laptop,Apple,starlight,0.95,1375
6,Laptop,Apple,grey,0.95,1325
7,Laptop,Apple,silver,0.7,1025
8,Laptop,Apple,silver,0.95,1425
9,Laptop,Apple,grey,0.8,1025
10,Laptop,Apple,starlight,0.85,1175
11,Laptop,Apple,starlight,0.95,1375
12,Laptop,Apple,grey,0.8,1175
13,Laptop,Apple,grey,0.75,1025
14,Laptop,Apple,grey,0.95,1325
15,Laptop,Apple,midnight,0.8,1075
16,Laptop,Apple,starlight,0.75,1025
17,Laptop,Apple,starlight,0.7,975
18,Laptop,Apple,silver,0.8,1175
19,Laptop,Apple,silver,0.85,1225
20,Laptop,Apple,starlight,0.95,1225
21,Laptop,Apple,grey,0.95,1325
22,Laptop,Apple,silver,0.9,1325
23,Laptop,Apple,midnight,0.7,975
24,Laptop,Apple,grey,0.85,1225
25,Laptop,Apple,grey,0.95,1275
26,Laptop,Apple,grey,0.75,1075
27,Laptop,Apple,starlight,0.7,925
28,Laptop,Apple,grey,0.9,1325
29,Laptop,Apple,starlight,0.75,1075
30,Laptop,Apple,starlight,0.7,1025
31,Laptop,Apple,midnight,0.95,1225
32,Laptop,Apple,grey,0.95,1325
33,Laptop,Apple,silver,0.95,1375
34,Laptop,Apple,grey,0.85,1175
35,Laptop,Apple,starlight,0.85,1175
36,Laptop,Apple,starlight,0.75,1025
37,Laptop,Apple,midnight,0.75,1075
38,Laptop,Apple,grey,0.7,1025
39,Laptop,Apple,silver,0.85,1175
40,Laptop,Apple,grey,0.7,1025
41,Laptop,Apple,starlight,0.9,1325
42,Laptop,Apple,midnight,0.9,1175
43,Laptop,Apple,midnight,0.85,1275
44,Laptop,Apple,starlight,0.75,1075
45,Laptop,Apple,midnight,0.85,1175
46,Laptop,Apple,grey,0.9,1275
47,Laptop,Apple,starlight,0.75,1075
48,Laptop,Apple,midnight,0.8,1075
49,Laptop,Apple,starlight,0.75,1075
50,Laptop,Apple,midnight,0.85,1125
51,Laptop,Apple,starlight,0.95,1275
52,Laptop,Apple,midnight,0.7,975
53,Laptop,Apple,starlight,0.95,1425
54,Laptop,Apple,starlight,0.7,975
55,Laptop,Apple,midnight,0.85,1175
56,Laptop,Apple,midnight,0.75,1075
57,Laptop,Apple,starlight,0.8,1125
58,Laptop,Apple,starlight,0.7,925
59,Laptop,Apple,grey,0.8,1075
60,Laptop,Apple,grey,0.75,1025
61,Laptop,Apple,grey,0.95,1275
62,Laptop,Apple,starlight,0.9,1325
63,Laptop,Apple,midnight,0.75,975
64,Laptop,Apple,starlight,0.9,1275
65,Laptop,Apple,midnight,0.85,1175
66,Laptop,Apple,starlight,0.8,1075
67,Laptop,Apple,silver,0.9,1225
68,Laptop,Apple,grey,0.95,1225
69,Laptop,Apple,starlight,0.8,1175
70,Laptop,Apple,starlight,0.8,1025
71,Laptop,Apple,midnight,0.7,925
72,Laptop,Apple,midnight,0.7,1025
73,Laptop,Apple,grey,0.8,1175
74,Laptop,Apple,silver,0.75,1075
75,Laptop,Apple,grey,0.9,1325
76,Laptop,Apple,silver,0.75,1075
77,Laptop,Apple,starlight,0.9,1275
78,Laptop,Apple,midnight,0.7,1025
79,Laptop,Apple,midnight,0.7,925
80,Laptop,Apple,starlight,0.75,1125
81,Laptop,Apple,silver,0.8,1175
82,Laptop,Apple,midnight,0.95,1375
83,Laptop,Apple,grey,0.9,1325
84,Laptop,Apple,midnight,0.95,1425
85,Laptop,Apple,silver,0.85,1225
86,Laptop,Apple,midnight,0.9,1275
87,Laptop,Apple,starlight,0.95,1325
88,Laptop,Apple,starlight,0.85,1125
89,Laptop,Apple,grey,0.8,1175
90,Laptop,Apple,grey,0.95,1375
91,Laptop,Apple,starlight,0.8,1175
92,Laptop,Apple,midnight,0.75,1075
93,Laptop,Apple,silver,0.8,1175
94,Laptop,Apple,silver,0.9,1225
95,Laptop,Apple,starlight,0.95,1275
96,Laptop,Apple,silver,0.9,1325
97,Laptop,Apple,silver,0.95,1275
98,Laptop,Apple,midnight,0.85,1225
99,Laptop,Apple,grey,0.85,1125
100,Laptop,Apple,silver,0.75,1075
101,Laptop,Apple,midnight,0.9,1325
102,Laptop,Apple,starlight,0.85,1225
103,Laptop,Apple,starlight,0.7,925
104,Laptop,Apple,midnight,0.8,1175
105,Laptop,Apple,grey,0.9,1225
106,Laptop,Apple,starlight,0.85,1125
107,Laptop,Apple,grey,0.8,1125
108,Laptop,Apple,midnight,0.7,975
109,Laptop,Apple,silver,0.75,1075
110,Laptop,Apple,starlight,0.75,1025
111,Laptop,Apple,starlight,0.75,1025
112,Laptop,Apple,midnight,0.95,1325
113,Laptop,Apple,starlight,0.9,1325
114,Laptop,Apple,grey,0.8,1075
115,Laptop,Apple,silver,0.8,1125
116,Laptop,Apple,silver,0.85,1125
117,Laptop,Apple,silver,0.85,1125
118,Laptop,Apple,midnight,0.7,1025
119,Laptop,Apple,starlight,0.75,1075
120,Laptop,Apple,silver,0.95,1275
121,Laptop,Apple,midnight,0.75,1075
122,Laptop,Apple,midnight,0.7,975
123,Laptop,Apple,grey,0.8,1125
124,Laptop,Apple,grey,0.7,925
125,Laptop,Apple,silver,0.7,1025
126,Laptop,Apple,silver,0.75,1025
127,Laptop,Apple,grey,0.7,975
128,Laptop,Apple,starlight,0.75,1125
129,Laptop,Apple,grey,0.8,1175
130,Laptop,Apple,starlight,0.75,1075
131,Laptop,Apple,grey,0.8,1075
132,Laptop,Apple,starlight,0.7,925
133,Laptop,Apple,midnight,0.95,1275
134,Laptop,Apple,starlight,0.85,1225
135,Laptop,Apple,starlight,0.8,1175
136,Laptop,Apple,grey,0.75,1075
137,Laptop,Apple,silver,0.95,1425
138,Laptop,Apple,midnight,0.9,1275
139,Laptop,Apple,starlight,0.8,1175
140,Laptop,Apple,starlight,0.9,1275
141,Laptop,Apple,midnight,0.8,1175
142,Laptop,Apple,silver,0.8,1075
143,Laptop,Apple,starlight,0.7,975
144,Laptop,Apple,grey,0.8,1175
145,Laptop,Apple,midnight,0.9,1275
146,Laptop,Apple,midnight,0.95,1325
147,Laptop,Apple,midnight,0.75,1075
148,Laptop,Apple,midnight,0.75,1025
149,Laptop,Apple,starlight,0.8,1175
150,Laptop,Apple,grey,0.85,1125
151,Laptop,Apple,starlight,0.9,1275
152,Laptop,Apple,starlight,0.9,1225
153,Laptop,Apple,midnight,0.85,1225
154,Laptop,Apple,grey,0.75,1025
155,Laptop,Apple,silver,0.85,1225
156,Laptop,Apple,grey,0.8,1125
157,Laptop,Apple,silver,0.9,1225
158,Laptop,Apple,grey,0.7,1025
