pid,category,brand,color,quality,price
0,Laptop,Apple,silver,0.704747576,500
1,Laptop,Apple,grey,0.704747576,500
2,Laptop,Apple,starlight,0.704747576,500
3,Laptop,Apple,starlight,0.704747576,500
4,Laptop,Apple,grey,0.704747576,500
5,Laptop,Apple,starlight,0.704747576,500
6,Laptop,Apple,grey,0.704747576,500
7,Laptop,Apple,silver,0.704747576,500
8,Laptop,Apple,silver,0.704747576,500
9,Laptop,Apple,grey,0.704747576,500
10,Laptop,Apple,starlight,0.704747576,500
11,Laptop,Apple,starlight,0.704747576,500
12,Laptop,Apple,grey,0.704747576,500
13,Laptop,Apple,grey,0.704747576,500
14,Laptop,Apple,grey,0.704747576,500
15,Laptop,Apple,midnight,0.704747576,500
16,Laptop,Apple,starlight,0.704747576,500
17,Laptop,Apple,starlight,0.704747576,500
18,Laptop,Apple,silver,0.704747576,500
19,Laptop,Apple,silver,0.704747576,500
20,Laptop,Apple,starlight,0.704747576,500
21,Laptop,Apple,grey,0.704747576,500
22,Laptop,Apple,silver,0.704747576,500
23,Laptop,Apple,midnight,0.704747576,500
24,Laptop,Apple,grey,0.704747576,500
25,Laptop,Apple,grey,0.704747576,500
26,Laptop,Apple,grey,0.704747576,500
27,Laptop,Apple,starlight,0.704747576,500
28,Laptop,Apple,grey,0.704747576,500
29,Laptop,Apple,starlight,0.704747576,500
30,Laptop,Apple,starlight,0.704747576,500
31,Laptop,Apple,midnight,0.704747576,500
32,Laptop,Apple,grey,0.704747576,500
33,Laptop,Apple,silver,0.704747576,500
34,Laptop,Apple,grey,0.704747576,500
35,Laptop,Apple,starlight,0.704747576,500
36,Laptop,Apple,starlight,0.704747576,500
37,Laptop,Apple,midnight,0.704747576,500
38,Laptop,Apple,grey,0.704747576,500
39,Laptop,Apple,silver,0.704747576,500
40,Laptop,Apple,grey,0.704747576,500
41,Laptop,Apple,starlight,0.704747576,500
42,Laptop,Apple,midnight,0.704747576,500
43,Laptop,Apple,midnight,0.704747576,500
44,Laptop,Apple,starlight,0.704747576,500
45,Laptop,Apple,midnight,0.704747576,500
46,Laptop,Apple,grey,0.704747576,500
47,Laptop,Apple,starlight,0.704747576,500
48,Laptop,Apple,midnight,0.704747576,500
49,Laptop,Apple,starlight,0.704747576,500
50,Laptop,Apple,midnight,0.704747576,500
51,Laptop,Apple,starlight,0.704747576,500
52,Laptop,Apple,midnight,0.704747576,500
53,Laptop,Apple,starlight,0.704747576,500
54,Laptop,Apple,starlight,0.704747576,500
55,Laptop,Apple,midnight,0.704747576,500
56,Laptop,Apple,midnight,0.704747576,500
57,Laptop,Apple,starlight,0.704747576,500
58,Laptop,Apple,starlight,0.704747576,500
59,Laptop,Apple,grey,0.704747576,500
60,Laptop,Apple,grey,0.704747576,500
61,Laptop,Apple,grey,0.704747576,500
62,Laptop,Apple,starlight,0.704747576,500
63,Laptop,Apple,midnight,0.704747576,500
64,Laptop,Apple,starlight,0.704747576,500
65,Laptop,Apple,midnight,0.704747576,500
66,Laptop,Apple,starlight,0.704747576,500
67,Laptop,Apple,silver,0.704747576,500
68,Laptop,Apple,grey,0.704747576,500
69,Laptop,Apple,starlight,0.704747576,500
70,Laptop,Apple,starlight,0.704747576,500
71,Laptop,Apple,midnight,0.704747576,500
72,Laptop,Apple,midnight,0.704747576,500
73,Laptop,Apple,grey,0.704747576,500
74,Laptop,Apple,silver,0.704747576,500
75,Laptop,Apple,grey,0.704747576,500
76,Laptop,Apple,silver,0.704747576,500
77,Laptop,Apple,starlight,0.704747576,500
78,Laptop,Apple,midnight,0.704747576,500
79,Laptop,Apple,midnight,0.704747576,500
80,Laptop,Apple,starlight,0.704747576,500
