pid,rid,rating,sentiment
0,0,2,0.3
0,1,4,0.65
0,2,3,0.5
0,3,4,0.55
0,4,2,0.3
0,5,3,0.45
0,6,4,0.65
0,7,3,0.4
0,8,3,0.45
0,9,5,0.75
0,10,4,0.65
0,11,2,0.35
0,12,3,0.5
0,13,4,0.6
0,14,3,0.45
0,15,2,0.3
0,16,3,0.5
0,17,3,0.5
0,18,5,0.7
0,19,4,0.55
1,20,4,0.6
1,21,2,0.3
1,22,4,0.55
1,23,2,0.35
1,24,3,0.4
1,25,2,0.35
1,26,5,0.75
1,27,4,0.65
1,28,5,0.75
1,29,3,0.45
1,30,4,0.55
1,31,4,0.6
1,32,3,0.4
1,33,3,0.45
1,34,2,0.35
1,35,2,0.35
1,36,2,0.3
1,37,4,0.55
1,38,2,0.3
1,39,4,0.55
2,40,3,0.5
2,41,3,0.5
2,42,4,0.6
2,43,2,0.3
2,44,4,0.6
2,45,2,0.25
2,46,2,0.3
2,47,3,0.5
2,48,4,0.6
2,49,2,0.3
2,50,2,0.3
2,51,3,0.4
2,52,4,0.6
2,53,4,0.6
2,54,4,0.6
2,55,2,0.25
2,56,4,0.55
2,57,2,0.3
2,58,4,0.6
2,59,3,0.5
3,60,2,0.35
3,61,2,0.3
3,62,3,0.45
3,63,3,0.5
3,64,4,0.6
3,65,2,0.25
3,66,4,0.6
3,67,2,0.35
3,68,3,0.5
3,69,5,0.7
3,70,3,0.5
3,71,5,0.7
3,72,2,0.35
3,73,4,0.55
3,74,2,0.3
3,75,3,0.5
3,76,2,0.35
3,77,4,0.55
3,78,3,0.4
3,79,3,0.45
4,80,2,0.25
4,81,4,0.6
4,82,2,0.35
4,83,4,0.6
4,84,5,0.75
4,85,4,0.6
4,86,3,0.4
4,87,3,0.45
4,88,2,0.3
4,89,2,0.3
4,90,4,0.6
4,91,4,0.55
4,92,4,0.55
4,93,2,0.3
4,94,3,0.4
4,95,5,0.7
4,96,3,0.4
4,97,3,0.45
4,98,4,0.55
4,99,2,0.3
5,100,2,0.3
5,101,3,0.45
5,102,4,0.65
5,103,4,0.55
5,104,2,0.35
5,105,3,0.4
5,106,2,0.25
5,107,4,0.6
5,108,4,0.6
5,109,3,0.4
5,110,2,0.25
5,111,3,0.45
5,112,2,0.3
5,113,3,0.45
5,114,4,0.6
5,115,4,0.65
5,116,3,0.5
5,117,4,0.55
5,118,3,0.5
5,119,2,0.3
6,120,3,0.5
6,121,3,0.4
6,122,2,0.25
6,123,3,0.5
6,124,3,0.5
6,125,5,0.8
6,126,4,0.55
6,127,4,0.65
6,128,4,0.6
6,129,3,0.45
6,130,5,0.75
6,131,2,0.35
6,132,2,0.3
6,133,4,0.55
6,134,4,0.6
6,135,2,0.3
6,136,2,0.35
6,137,3,0.4
6,138,3,0.5
6,139,4,0.6
7,140,2,0.3
7,141,2,0.35
7,142,2,0.3
7,143,4,0.6
7,144,4,0.6
7,145,3,0.4
7,146,4,0.6
7,147,3,0.5
7,148,4,0.65
7,149,5,0.75
7,150,2,0.3
7,151,2,0.3
7,152,3,0.45
7,153,4,0.55
7,154,2,0.35
7,155,4,0.6
7,156,2,0.35
7,157,4,0.6
7,158,3,0.5
7,159,2,0.3
8,160,2,0.35
8,161,5,0.75
8,162,3,0.5
8,163,3,0.4
8,164,2,0.35
8,165,3,0.4
8,166,2,0.3
8,167,2,0.3
8,168,4,0.65
8,169,4,0.6
8,170,3,0.5
8,171,2,0.3
8,172,3,0.4
8,173,2,0.3
8,174,3,0.5
8,175,4,0.55
8,176,2,0.3
8,177,2,0.3
8,178,4,0.6
8,179,2,0.3
9,180,4,0.55
9,181,2,0.3
9,182,3,0.4
9,183,3,0.45
9,184,2,0.3
9,185,4,0.6
9,186,4,0.6
9,187,3,0.45
9,188,2,0.3
9,189,4,0.55
9,190,4,0.6
9,191,3,0.45
9,192,3,0.45
9,193,3,0.45
9,194,3,0.45
9,195,4,0.6
9,196,2,0.35
9,197,4,0.6
9,198,3,0.45
9,199,4,0.65
10,200,2,0.35
10,201,2,0.3
10,202,4,0.6
10,203,4,0.55
10,204,2,0.25
10,205,3,0.45
10,206,3,0.4
10,207,3,0.4
10,208,4,0.6
10,209,5,0.75
10,210,3,0.45
10,211,4,0.55
10,212,2,0.3
10,213,2,0.3
10,214,4,0.6
10,215,3,0.45
10,216,3,0.4
10,217,3,0.45
10,218,4,0.6
10,219,2,0.35
11,220,5,0.7
11,221,2,0.25
11,222,4,0.6
11,223,2,0.3
11,224,2,0.3
11,225,3,0.45
11,226,5,0.7
11,227,4,0.6
11,228,5,0.7
11,229,3,0.45
11,230,4,0.55
11,231,2,0.25
11,232,3,0.45
11,233,2,0.35
11,234,4,0.6
11,235,4,0.65
11,236,3,0.5
11,237,3,0.45
11,238,4,0.6
11,239,5,0.75
12,240,3,0.4
12,241,2,0.3
12,242,2,0.35
12,243,4,0.6
12,244,5,0.7
12,245,4,0.65
12,246,3,0.45
12,247,3,0.45
12,248,2,0.3
12,249,4,0.65
12,250,3,0.5
12,251,3,0.45
12,252,3,0.45
12,253,2,0.3
12,254,2,0.35
12,255,5,0.8
12,256,3,0.4
12,257,2,0.35
12,258,3,0.45
12,259,5,0.7
13,260,4,0.65
13,261,2,0.3
13,262,4,0.6
13,263,3,0.45
13,264,4,0.55
13,265,2,0.35
13,266,2,0.3
13,267,2,0.35
13,268,4,0.55
13,269,3,0.4
13,270,4,0.55
13,271,4,0.6
13,272,2,0.35
13,273,2,0.35
13,274,2,0.3
13,275,4,0.65
13,276,4,0.6
13,277,4,0.55
13,278,3,0.4
13,279,2,0.3
14,280,2,0.35
14,281,3,0.45
14,282,4,0.65
14,283,4,0.6
14,284,3,0.45
14,285,4,0.65
14,286,4,0.6
14,287,2,0.3
14,288,4,0.6
14,289,3,0.4
14,290,2,0.35
14,291,2,0.3
14,292,4,0.55
14,293,3,0.45
14,294,3,0.4
14,295,4,0.55
14,296,4,0.55
14,297,2,0.35
14,298,4,0.65
14,299,3,0.5
15,300,2,0.35
15,301,4,0.55
15,302,3,0.5
15,303,4,0.6
15,304,5,0.8
15,305,2,0.25
15,306,4,0.6
15,307,2,0.3
15,308,2,0.25
15,309,2,0.35
15,310,4,0.55
15,311,4,0.6
15,312,4,0.6
15,313,3,0.5
15,314,3,0.5
15,315,2,0.3
15,316,4,0.55
15,317,3,0.5
15,318,3,0.45
15,319,3,0.45
16,320,4,0.55
16,321,4,0.6
16,322,2,0.3
16,323,2,0.35
16,324,3,0.45
16,325,3,0.5
16,326,4,0.65
16,327,3,0.45
16,328,3,0.45
16,329,4,0.65
16,330,3,0.45
16,331,2,0.3
16,332,3,0.45
16,333,3,0.45
16,334,2,0.35
16,335,4,0.55
16,336,5,0.8
16,337,4,0.6
16,338,2,0.35
16,339,3,0.45
17,340,5,0.75
17,341,4,0.6
17,342,2,0.3
17,343,4,0.65
17,344,4,0.65
17,345,3,0.45
17,346,5,0.75
17,347,2,0.35
17,348,3,0.5
17,349,5,0.75
17,350,2,0.3
17,351,5,0.75
17,352,3,0.5
17,353,4,0.6
17,354,3,0.45
17,355,4,0.6
17,356,5,0.7
17,357,3,0.45
17,358,3,0.45
17,359,5,0.7
18,360,2,0.35
